community_id,community_name,tags
3,读书会,阅读|文学|分享
4,舞蹈社,舞蹈|表演|健身
5,编程社,编程|技术|开发
6,音乐社,音乐|乐器|演唱
7,环保社,环保|可持续|自然
8,棋类社,棋类|策略|智力
9,徒步社,徒步|户外|探险
10,书法社,书法|艺术|传统文化
11,美食社,美食|烹饪|餐饮
12,科技社,科技|创新|未来
13,动漫社,动漫|二次元|创作
14,辩论社,辩论|逻辑|思辨
15,园艺社,园艺|植物|种植
16,手工社,手工|DIY|创意
17,健身社,健身|运动|健康
18,骑行社,骑行|户外|探险
19,国际交流社,国际|交流|文化
20,志愿者社,志愿|公益|服务
21,公益社,公益|慈善|社会
22,语言学习社,语言|学习|交流
25,音乐爱好者社,音乐|表演|创作
26,环保志愿者社,环保|环保活动|自然
27,棋类爱好者社,棋类|智力游戏|策略
28,徒步爱好者社,徒步|探险|户外运动
29,书法爱好者社,书法|传统艺术|文化
30,美食爱好者社,美食|餐饮文化|烹饪
31,科技爱好者社,科技|前沿技术|未来
32,动漫爱好者社,动漫|动画|创作
33,辩论爱好者社,辩论|思辨|逻辑
34,园艺爱好者社,园艺|植物栽培|种植
37,茶艺社,茶艺|传统文化|品茶
38,DJ社,DJ|音乐制作|电子音乐
39,天文社,天文|宇宙|科学
40,手语社,手语|聋人文化|交流
41,创意写作社,写作|文学|创作
42,陶艺社,陶艺|手工艺|艺术
43,桌游社,桌游|策略|社交
44,摄影俱乐部,摄影|艺术|后期
45,瑜伽社,瑜伽|健身|冥想
46,机器人社,机器人|科技|创新
49,聋人文化交流社,手语|聋人文化|交流
50,身心平衡社,瑜伽|冥想|健康
51,AI创新社,机器人|科技|创新
52,摄影艺术社,摄影|艺术|后期
53,策略游戏社,桌游|策略|社交
54,茶文化社,茶艺|传统文化|品茶
55,电子音乐社,DJ|电子音乐|音乐制作
56,创意手工艺社,手工艺|创意|DIY
57,文学创作社,写作|文学|创作
58,陶瓷艺术社,陶艺|艺术|手工艺
